名称,rm型片式厚膜固定电阻器,型号,(J)CL21-160V-0.22μF-K,分类,电容器,生产厂家,成都宏明电子股份有限公司,厂商地域,四川成都,质量等级,J,温度范围,-55～85℃,封装形式,流化包封,额定电压,160V	,标称容量,0.22μF,标称阻值,1.33mΩ	,阻值允许偏差,±1% 
名称,rm型片式厚膜固定电阻器,型号,rm3216mb1334ft,分类,氧化膜电阻器,生产厂家,中国振华集团云科电子有限公司,厂商地域,贵州贵阳,质量等级,gjb,温度特性,±300ppm/℃	,封装形式,smd1206,额定功耗,0.25W	,封装尺寸,3.2×1.6×0.55,标称阻值,1.33mΩ	,阻值允许偏差,±1%
名称,rm型片式厚膜固定电阻器,型号,rm6332mb1334ft,分类,氧化膜电阻器,生产厂家,中国振华集团云科电子有限公司,厂商地域,贵州贵阳,质量等级,gjb,温度特性,±300ppm/℃	,封装形式,smd2512,额定功耗,1.0W	,封装尺寸,6.3×3.2×0.55,标称阻值,1.33mΩ	,阻值允许偏差,±1%
名称,rrj型片式厚膜固定电阻器,型号,rrj2012k1334f,分类,氧化膜电阻器,生产厂家,中国振华集团云科电子有限公司,厂商地域,贵州贵阳,质量等级,gjb,温度特性,±100ppm/℃	,封装形式,smd0805,额定功耗,0.125W	,封装尺寸,2.0×1.25×0.5,标称阻值,1.33mΩ	,阻值允许偏差,±1%
名称,rmk3263型3w片式厚膜固定电阻器,型号,rmk3263kb1371fm,分类,氧化膜电阻器,生产厂家,中国振华集团云科电子有限公司,厂商地域,贵州贵阳,质量等级,gjb,温度特性,±100ppm/℃	,封装形式,smd,额定功耗,3W	,封装尺寸,3.2×6.3×0.55,标称阻值,1.37kΩ	,阻值允许偏差,±1%
名称,rmk型有可靠性指标的片式厚膜固定电阻器,型号,rmk1005kb1371fm,分类,氧化膜电阻器,生产厂家,中国振华集团云科电子有限公司,厂商地域,贵州贵阳,质量等级,a1m,温度特性,±100ppm/℃	,封装形式,smd0402,额定功耗,0.04W	,封装尺寸,1.0×0.5×0.35,标称阻值,1.37kΩ	,阻值允许偏差,±1%
名称,rmk型有可靠性指标的片式厚膜固定电阻器,型号,rmk3225kb1371fm,分类,氧化膜电阻器,生产厂家,中国振华集团云科电子有限公司,厂商地域,贵州贵阳,质量等级,a1p,温度特性,±100ppm/℃	,封装形式,smd1210,额定功耗,0.25W	,封装尺寸,3.2×2.5×0.55,标称阻值,1.37kΩ	,阻值允许偏差,±1%
名称,rmk型有可靠性指标的片式厚膜固定电阻器,型号,rmk3225mb1371fm,分类,氧化膜电阻器,生产厂家,中国振华集团云科电子有限公司,厂商地域,贵州贵阳,质量等级,a1p,温度特性,±300ppm/℃	,封装形式,smd1210,额定功耗,0.25W	,封装尺寸,3.2×2.5×0.55,标称阻值,1.37kΩ	,阻值允许偏差,±1%
名称,rmk型宇航用片式厚膜固定电阻器,型号,rmk2012mb1402fm,分类,氧化膜电阻器,生产厂家,中国振华集团云科电子有限公司,厂商地域,贵州贵阳,质量等级,cast-b,温度特性,±300ppm/℃	,封装形式,smd0805,额定功耗,0.1W	,封装尺寸,2.0×1.27×0.6,标称阻值,14kΩ	,阻值允许偏差,±1%
名称,rmk型宇航用片式厚膜固定电阻器,型号,rmk6332mb1402fm,分类,氧化膜电阻器,生产厂家,中国振华集团云科电子有限公司,厂商地域,贵州贵阳,质量等级,cast-b,温度特性,±300ppm/℃	,封装形式,smd2512,额定功耗,1.0W	,封装尺寸,6.3×3.2×0.6,标称阻值,14kΩ	,阻值允许偏差,±1%
名称,rmk型有可靠性指标的片式厚膜固定电阻器,型号,rmk1005mb1403fm,分类,氧化膜电阻器,生产厂家,中国振华集团云科电子有限公司,厂商地域,贵州贵阳,质量等级,a1m,温度特性,±300ppm/℃	,封装形式,smd0402,额定功耗,0.04W	,封装尺寸,1.0×0.5×0.35,标称阻值,140kΩ	,阻值允许偏差,±1%
名称,rm型片式厚膜固定电阻器,型号,rm2012kb1403ft,分类,氧化膜电阻器,生产厂家,中国振华集团云科电子有限公司,厂商地域,贵州贵阳,质量等级,gjb,温度特性,±100ppm/℃	,封装形式,smd0805,额定功耗,0.1W	,封装尺寸,2.0×1.25×0.5,标称阻值,140kΩ	,阻值允许偏差,±1%
名称,rm型片式厚膜固定电阻器,型号,rm6332kb1403ft,分类,氧化膜电阻器,生产厂家,中国振华集团云科电子有限公司,厂商地域,贵州贵阳,质量等级,gjb,温度特性,±100ppm/℃	,封装形式,smd2512,额定功耗,1.0W	,封装尺寸,6.3×3.2×0.55,标称阻值,140kΩ	,阻值允许偏差,±1%
名称,rrj型片式厚膜固定电阻器,型号,rrj6332m1403f,分类,氧化膜电阻器,生产厂家,中国振华集团云科电子有限公司,厂商地域,贵州贵阳,质量等级,gjb,温度特性,±300ppm/℃	,封装形式,smd2512,额定功耗,1.0W	,封装尺寸,6.3×3.2×0.55,标称阻值,140kΩ	,阻值允许偏差,±1%
名称,rmkh型有可靠性指标的高精度片式厚膜固定电阻器,型号,rmkh5025mb1371bmt,分类,氧化膜电阻器,生产厂家,中国振华集团云科电子有限公司,厂商地域,贵州贵阳,质量等级,gjb,温度特性,±300ppm/℃	,封装形式,smd2010,额定功耗,0.5W	,封装尺寸,5.2×2.5×0.55,标称阻值,1.37kΩ	,阻值允许偏差,±0.1%
